country,pop2024,density
Gibraltar,32718,4811.4706
Saint Martin,32337,646.74
British Virgin Islands,31763,211.7533
Palau,18051,39.2413
Cook Islands,17072,71.1333
Anguilla,15936,175.1209
Nauru,12884,644.2
Tuvalu,11478,382.6
Wallis and Futuna,11439,41.7482
Saint Barthelemy,11019,440.76
Saint Pierre and Miquelon,5815,24.0289
Montserrat,4372,42.8627
Falkland Islands,3803,0.3124
Niue,1935,7.4138
Tokelau,1915,191.5
Vatican City,526,1195.4545
